Week,Category,Price
1,Dairy,32.4606698044347
1,Meat,22.31305541565492
1,Snacks,27.695212825194524
2,Canned Goods,24.86493188849327
2,Meat,34.701048009273904
2,Snacks,23.469576536170425
3,Bakery,9.126483883754688
3,Dairy,35.761225240039295
3,Produce,18.022965955563908
3,Snacks,19.52636045697619
4,Bakery,21.895415309365607
4,Canned Goods,3.2827994025157894
4,Dairy,18.55697389484885
4,Snacks,63.33091139634929
5,Bakery,16.46802910350407
5,Dairy,64.02198364188524
5,Produce,29.166650896783786
5,Snacks,25.484514583409524
6,Canned Goods,1.8023271633964104
6,Dairy,8.844078793571367
6,Meat,3.151610366143533
6,Produce,23.043860040314165
6,Snacks,34.45226552931761
7,Canned Goods,11.37630469522481
7,Meat,8.205312732725018
7,Produce,50.88814051859599
7,Snacks,37.449054983162405
8,Bakery,34.19758238469713
8,Canned Goods,27.966591052720645
8,Dairy,17.926814814766058
8,Meat,11.274309450284662
8,Produce,23.863212594864244
9,Canned Goods,39.47646583792711
9,Dairy,19.619645485951853
9,Produce,72.67829956911527
9,Snacks,4.496464428782812
10,Bakery,73.149421926108
10,Canned Goods,8.897204188011084
10,Dairy,18.852997779952116
10,Meat,1.01550667292477
11,Dairy,2.3188479247875984
11,Meat,36.93058158082059
11,Produce,32.61501548153156
11,Snacks,6.889189900285073
12,Bakery,33.38648480424663
12,Canned Goods,16.832586652347118
12,Dairy,14.442342303026852
12,Meat,10.629073208898998
12,Snacks,10.323332309995642
13,Bakery,17.383263255741774
13,Canned Goods,33.385125656684856
13,Dairy,17.54546238875816
13,Meat,25.184076514204985
13,Produce,13.859253311157731
14,Bakery,21.15172279567385
14,Dairy,29.783628209727045
14,Meat,10.308026513182996
14,Snacks,71.86668442485819
15,Canned Goods,31.028098678777738
15,Dairy,21.38599357348301
15,Meat,5.616690238775556
15,Snacks,62.099287026661045
16,Bakery,52.019276484248074
16,Canned Goods,29.936277675771407
16,Dairy,27.982089204903435
16,Meat,15.84670388469786
16,Produce,1.6483716534757238
17,Bakery,33.81427059871582
17,Canned Goods,6.794984867813965
17,Dairy,31.542195174225427
17,Snacks,36.9634684305918
18,Canned Goods,54.20070971309257
18,Dairy,22.247841435956648
18,Meat,14.493728810885546
18,Snacks,43.82515564811909
19,Bakery,40.68286878000363
19,Canned Goods,22.148731500510628
19,Meat,28.50025460318679
19,Snacks,4.897715683870231
20,Bakery,22.695660446324784
20,Canned Goods,6.567381207022382
20,Meat,46.00792902124495
20,Produce,32.604010651398575
20,Snacks,2.6395892268813657
21,Bakery,29.169117857539298
21,Canned Goods,9.614944725854278
21,Dairy,25.838844958437218
21,Meat,12.217120679350383
21,Produce,26.474943320198
21,Snacks,19.94297080179732
22,Bakery,32.20077916756918
22,Canned Goods,24.10783969962296
22,Meat,27.6300624319615
22,Produce,66.23759684793401
23,Bakery,39.6597478897487
23,Dairy,31.92689461747483
23,Snacks,65.56191985209378
24,Bakery,21.175587544116375
24,Canned Goods,13.32758407563801
24,Meat,25.230668091210696
24,Produce,17.316844572172865
24,Snacks,2.299104054128027
25,Canned Goods,36.46531914480219
25,Dairy,17.894348737344373
25,Meat,36.75740398980883
25,Produce,19.98598500167898
25,Snacks,18.70754364282244
26,Bakery,13.939627229970062
26,Dairy,25.239079548984122
26,Meat,55.51307419206839
26,Snacks,20.315776651369145
27,Bakery,20.878717724916413
27,Canned Goods,9.680700537220732
27,Dairy,7.985359489249953
27,Meat,53.424793064595036
28,Bakery,33.82588814310347
28,Canned Goods,5.139470613329157
28,Dairy,19.51762338127488
28,Meat,18.142680061729457
28,Snacks,28.25978407936583
29,Bakery,37.57095721787487
29,Dairy,27.9758870331761
29,Produce,7.5348192768101345
29,Snacks,18.91798326510802
30,Canned Goods,39.91429219727226
30,Dairy,29.121198015978422
30,Produce,8.061707351753578
30,Snacks,29.943367853285803
31,Canned Goods,10.042916546017745
31,Dairy,27.43169299711034
31,Meat,37.38627798141138
31,Snacks,40.10095342460822
32,Bakery,35.52839171933346
32,Dairy,24.81066262737641
32,Meat,27.986224019431944
32,Produce,18.815246331227343
32,Snacks,21.69014900912938
33,Canned Goods,24.148220629417
33,Dairy,30.109056307867835
33,Meat,19.58024538868813
33,Produce,10.871068720381343
33,Snacks,51.04040941964216
34,Bakery,47.44655612658149
34,Canned Goods,14.063305008597823
34,Dairy,8.045271124143959
35,Bakery,17.082551217152258
35,Canned Goods,9.071503679665405
35,Meat,27.63396004677237
35,Produce,3.440776869334324
35,Snacks,54.00725213364129
36,Bakery,50.58087236231469
36,Canned Goods,10.530104524192035
36,Dairy,11.2687095230748
36,Meat,17.36006232454357
36,Snacks,18.873782969632458
37,Canned Goods,70.4147627349732
37,Dairy,10.226853921449363
37,Meat,17.962008930157648
37,Snacks,11.276463375361494
38,Dairy,11.733662340293494
38,Meat,31.05996377287392
38,Produce,28.5780585705738
38,Snacks,66.2589231210895
39,Bakery,42.85248812636606
39,Dairy,13.516027265376142
39,Meat,2.721179824326473
39,Produce,15.107103274334314
39,Snacks,17.506169729403627
40,Bakery,26.084526482887796
40,Dairy,3.807626301968133
40,Meat,21.442190385122316
40,Produce,26.499852926440727
40,Snacks,42.787382718484146
41,Bakery,7.4423661947066115
41,Canned Goods,16.761888120386857
41,Dairy,10.62473430724407
41,Meat,4.727628094413651
41,Snacks,40.19759333687891
42,Bakery,21.45639881984159
42,Canned Goods,30.29941049015257
42,Dairy,21.3373883646466
42,Meat,19.62410504316602
42,Produce,10.3398989463174
42,Snacks,13.768150490962986
43,Bakery,42.84084648435468
43,Canned Goods,28.37467866042677
43,Dairy,6.973251472124251
43,Meat,11.505999506187916
43,Snacks,33.873681336576915
44,Bakery,23.075330020598564
44,Canned Goods,4.372360360923477
44,Dairy,9.889097453890994
44,Produce,40.71124519103596
44,Snacks,11.237227261209128
45,Bakery,40.802574715516286
45,Dairy,5.026308900304405
45,Produce,11.88949531871945
45,Snacks,48.922199294466004
46,Bakery,18.34489685795813
46,Canned Goods,10.411345071143227
46,Meat,20.77443440173096
46,Produce,39.63540326398451
46,Snacks,39.99567609920548
47,Bakery,54.782247198085756
47,Canned Goods,28.64785969626707
47,Dairy,10.946854655716022
47,Meat,33.6039734444691
47,Snacks,7.11013266845012
48,Bakery,28.680788232950306
48,Canned Goods,15.671614297475926
48,Dairy,13.88571621602953
48,Meat,18.872077527831618
48,Produce,25.233540160417665
49,Bakery,6.337031413849412
49,Canned Goods,9.987855995155623
49,Meat,34.179081367815755
49,Produce,24.509737457878312
49,Snacks,51.970597687211374
50,Canned Goods,31.655171282473766
50,Dairy,13.1185532252045
50,Meat,24.582735239384274
50,Snacks,3.2836498630902744
51,Bakery,22.740284468457965
51,Canned Goods,10.892265234884528
51,Dairy,34.89990081396045
51,Meat,28.376771172383094
52,Bakery,37.67126763945183
52,Canned Goods,3.2930158561710776
52,Dairy,33.6201152659542
52,Meat,17.804575080123282
52,Snacks,7.465282227993059
53,Dairy,20.80839696390506
53,Meat,35.98900302132067
53,Snacks,29.23962086875553
